"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 13:43:36 GMT 2023","Thu Jul 06 13:43:37 GMT 2023","911","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"failed","Thu Jul 06 13:43:36 GMT 2023","Thu Jul 06 13:43:39 GMT 2023","2878","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu Jul 06 13:43:37 GMT 2023","Thu Jul 06 13:43:39 GMT 2023","1990","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
