"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 01 00:40:28 GMT 2023","Sat Jul 01 00:40:29 GMT 2023","1063","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Sat Jul 01 00:40:28 GMT 2023","Sat Jul 01 00:40:30 GMT 2023","2178","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sat Jul 01 00:40:30 GMT 2023","Sat Jul 01 00:40:31 GMT 2023","1477","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
