"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 23 00:29:44 GMT 2024","Tue Jan 23 00:29:45 GMT 2024","763","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Tue Jan 23 00:29:43 GMT 2024","Tue Jan 23 00:29:44 GMT 2024","537","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Tue Jan 23 00:29:43 GMT 2024","Tue Jan 23 00:29:44 GMT 2024","1105","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
