"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 21 00:25:33 GMT 2023","Mon Aug 21 00:25:35 GMT 2023","2240","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Mon Aug 21 00:25:34 GMT 2023","Mon Aug 21 00:25:35 GMT 2023","1443","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Mon Aug 21 00:25:33 GMT 2023","Mon Aug 21 00:25:33 GMT 2023","826","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
