"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 15 00:27:13 GMT 2024","Fri Mar 15 00:27:18 GMT 2024","5141","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri Mar 15 00:27:17 GMT 2024","Fri Mar 15 00:27:18 GMT 2024","1009","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri Mar 15 00:27:13 GMT 2024","Fri Mar 15 00:27:17 GMT 2024","4389","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
