"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 27 00:27:15 GMT 2023","Sun Aug 27 00:27:17 GMT 2023","2210","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sun Aug 27 00:27:16 GMT 2023","Sun Aug 27 00:27:17 GMT 2023","1570","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Sun Aug 27 00:27:15 GMT 2023","Sun Aug 27 00:27:16 GMT 2023","897","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
