"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 00:26:58 GMT 2023","Wed Oct 04 00:27:01 GMT 2023","2398","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Wed Oct 04 00:26:58 GMT 2023","Wed Oct 04 00:26:59 GMT 2023","821","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Wed Oct 04 00:26:59 GMT 2023","Wed Oct 04 00:27:01 GMT 2023","1784","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
