"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 12 00:35:53 GMT 2023","Mon Jun 12 00:35:54 GMT 2023","934","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Mon Jun 12 00:35:54 GMT 2023","Mon Jun 12 00:35:55 GMT 2023","1354","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Mon Jun 12 00:35:53 GMT 2023","Mon Jun 12 00:35:55 GMT 2023","2078","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
