"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 08 00:27:15 GMT 2024","Thu Feb 08 00:27:16 GMT 2024","1010","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu Feb 08 00:27:14 GMT 2024","Thu Feb 08 00:27:16 GMT 2024","1412","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu Feb 08 00:27:14 GMT 2024","Thu Feb 08 00:27:15 GMT 2024","697","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
