"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 05 00:25:27 GMT 2023","Tue Sep 05 00:25:28 GMT 2023","826","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Tue Sep 05 00:25:28 GMT 2023","Tue Sep 05 00:25:29 GMT 2023","1382","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Tue Sep 05 00:25:27 GMT 2023","Tue Sep 05 00:25:29 GMT 2023","2035","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
