"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 22 00:30:25 GMT 2023","Wed Nov 22 00:30:26 GMT 2023","1205","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Wed Nov 22 00:30:25 GMT 2023","Wed Nov 22 00:30:27 GMT 2023","1925","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Wed Nov 22 00:30:26 GMT 2023","Wed Nov 22 00:30:27 GMT 2023","910","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
