"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 10 00:37:16 GMT 2023","Mon Jul 10 00:37:18 GMT 2023","1397","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Mon Jul 10 00:37:15 GMT 2023","Mon Jul 10 00:37:17 GMT 2023","2256","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Mon Jul 10 00:37:15 GMT 2023","Mon Jul 10 00:37:16 GMT 2023","1105","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
