"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 29 00:26:58 GMT 2023","Fri Sep 29 00:27:01 GMT 2023","2547","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Fri Sep 29 00:27:00 GMT 2023","Fri Sep 29 00:27:01 GMT 2023","1412","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Fri Sep 29 00:26:58 GMT 2023","Fri Sep 29 00:26:59 GMT 2023","1284","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
