"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 14 00:28:36 GMT 2023","Thu Dec 14 00:28:38 GMT 2023","1608","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Thu Dec 14 00:28:36 GMT 2023","Thu Dec 14 00:28:37 GMT 2023","983","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Thu Dec 14 00:28:37 GMT 2023","Thu Dec 14 00:28:38 GMT 2023","819","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
