"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 29 00:29:20 GMT 2023","Mon May 29 00:29:22 GMT 2023","1375","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Mon May 29 00:29:19 GMT 2023","Mon May 29 00:29:21 GMT 2023","2234","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Mon May 29 00:29:19 GMT 2023","Mon May 29 00:29:20 GMT 2023","1048","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
