"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 00:28:01 GMT 2024","Mon Feb 12 00:28:03 GMT 2024","1311","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Mon Feb 12 00:28:01 GMT 2024","Mon Feb 12 00:28:02 GMT 2024","549","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Mon Feb 12 00:28:02 GMT 2024","Mon Feb 12 00:28:03 GMT 2024","886","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
