"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 00:27:25 GMT 2023","Wed Dec 27 00:27:26 GMT 2023","1195","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Wed Dec 27 00:27:25 GMT 2023","Wed Dec 27 00:27:25 GMT 2023","492","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Wed Dec 27 00:27:25 GMT 2023","Wed Dec 27 00:27:26 GMT 2023","926","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
