"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 21 00:25:55 GMT 2023","Thu Sep 21 00:25:56 GMT 2023","953","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
"passed","Thu Sep 21 00:25:56 GMT 2023","Thu Sep 21 00:25:58 GMT 2023","1624","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Thu Sep 21 00:25:55 GMT 2023","Thu Sep 21 00:25:57 GMT 2023","2150","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
