"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 20:13:27 GMT 2023","Sun Apr 23 20:13:30 GMT 2023","2092","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Sun Apr 23 20:13:26 GMT 2023","Sun Apr 23 20:13:29 GMT 2023","3195","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sun Apr 23 20:13:26 GMT 2023","Sun Apr 23 20:13:27 GMT 2023","1292","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
