"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 17 00:28:10 GMT 2023","Sun Sep 17 00:28:12 GMT 2023","2431","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sun Sep 17 00:28:11 GMT 2023","Sun Sep 17 00:28:13 GMT 2023","1683","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Sun Sep 17 00:28:10 GMT 2023","Sun Sep 17 00:28:11 GMT 2023","1211","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
