"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 00:34:21 GMT 2023","Sun Jul 23 00:34:23 GMT 2023","2122","","tests.QuickTransferTest","","tests.QuickTransferTest","quickTransferFundsPositive","quickTransferFundsPositive(TestInfo)",""
"passed","Sun Jul 23 00:34:22 GMT 2023","Sun Jul 23 00:34:24 GMT 2023","1323","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestPositive","loginTestPositive(TestInfo)",""
"passed","Sun Jul 23 00:34:21 GMT 2023","Sun Jul 23 00:34:22 GMT 2023","1220","","tests.DemoBankLoginTest","","tests.DemoBankLoginTest","loginTestNegative","loginTestNegative(TestInfo)",""
